price,location,rooms,rating,detail_ratings,place_offers
€ 76 ,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 1 bed ·  · 1.5 baths,4.85 ·,"['Cleanliness4.9', 'Accuracy4.9', 'Communication5.0', 'Location4.8', 'Check-in5.0', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'TV', 'Paid crib - available upon request', 'Air conditioning', 'Heating', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Stove', 'Oven', 'Coffee maker', 'Private entrance', 'Private patio or balcony', 'Elevator', 'Long term stays allowed', 'Host greets you', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm']"
,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.94 ·,"['Cleanliness4.9', 'Accuracy4.9', 'Communication5.0', 'Location4.8', 'Check-in5.0', 'Value4.9']","['Harbor view', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Free washer – In building', 'Free dryer – In building', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Ethernet connection', 'TV', 'Crib - available upon request', 'Baby bath - available upon request', 'Children’s dinnerware', 'Table corner guards', 'Window AC unit', 'Central heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Electric stove', 'Hot water kettle', 'Coffee maker: Nespresso', 'Coffee', 'Laundromat nearby', 'Elevator', 'Paid parking lot off premises', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning available during stay', 'Host greets you', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Private entrancePrivate entrance']"
€ 41 ,"Thessaloniki, Greece",2 guests ·  · Studio ·  · 1 bed ·  · 1 bath,,[],"['TV', 'Air conditioning', 'Wifi', 'Kitchen', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Hair dryerHair dryer', 'Unavailable: EssentialsEssentials', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: ShampooShampoo', 'Unavailable: Private entrancePrivate entrance', 'Unavailable: HeatingHeating']"
€ 34 ,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.83 ·,"['Cleanliness4.8', 'Accuracy4.9', 'Communication4.9', 'Location5.0', 'Check-in5.0', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'HDTV with standard cable', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Coffee maker', 'Waterfront', 'Elevator', 'Paid parking off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Private entrancePrivate entrance']"
€ 81 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,4.97 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location5.0', 'Check-in5.0', 'Value4.9']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Hot water', 'Shower gel', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Room-darkening shades', 'Iron', 'Clothing storage: closet and dresser', 'TV', 'High chair', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker: Nespresso', 'Wine glasses', 'Dining table', 'Coffee', 'Long term stays allowed', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 65 ,"Thessaloniki, Greece",5 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1.5 baths,,[],"['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Drying rack for clothing', 'Clothing storage: wardrobe', 'TV', 'Piano', 'Air conditioning', 'Indoor fireplace', 'Ceiling fan', 'Central heating', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Electric stove', 'Oven', 'Coffee maker: drip coffee maker, espresso machine', 'Baking sheet', 'Dining table', 'Private patio or balcony', 'Free parking on premises', 'Elevator', 'Long term stays allowed', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 35 ,"Thessaloniki, Central Macedonia, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.78 ·,"['Cleanliness4.9', 'Accuracy4.8', 'Communication4.9', 'Location5.0', 'Check-in4.9', 'Value4.8']","['Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Iron', 'Safe', 'Clothing storage: closet', 'Ethernet connection', 'TV', 'High chair', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fast wifi – 193 Mbps', 'Refrigerator', 'Dishes and silverware', 'Mini fridge', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Coffee', 'Elevator', 'Paid parking off premises', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: KitchenKitchen', 'Unavailable: WasherWasher', 'Unavailable: Private entrancePrivate entrance']"
€ 79 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 2 baths,4.87 ·,"['Cleanliness4.8', 'Accuracy4.9', 'Communication5.0', 'Location4.9', 'Check-in4.9', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Hangers', 'Extra pillows and blankets', 'Iron', 'TV', 'Air conditioning', 'Heating', 'First aid kit', 'Wifi', 'Kitchen', 'Microwave', 'Coffee maker', 'Elevator', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.91 ·,"['Cleanliness5.0', 'Accuracy5.0', 'Communication5.0', 'Location4.8', 'Check-in5.0', 'Value4.9']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Washer', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Room-darkening shades', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Coffee', 'Elevator', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 51 ,"Thessaloniki, Greece",3 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,,[],"['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Clothing storage: wardrobe', 'TV', 'AC - split type ductless system', 'Heating - split type ductless system', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Electric stove', 'Oven', 'Hot water kettle', 'Wine glasses', 'Baking sheet', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 60 ,"Thessaloniki, GR, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,4.85 ·,"['Cleanliness4.9', 'Accuracy4.9', 'Communication4.9', 'Location4.9', 'Check-in5.0', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'TV with standard cable', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Coffee maker', 'Waterfront', 'Elevator', 'Paid parking off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Private entrancePrivate entrance']"
€ 93 ,"Thessaloniki, Greece",4 guests ·  · 1 bedroom ·  · 2 beds ·  · 1 bath,,[],"['Hair dryer', 'Washer', 'Bed linens', 'Iron', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Toaster', 'Unavailable: EssentialsEssentials', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: ShampooShampoo', 'Unavailable: Private entrancePrivate entrance']"
€ 300 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1.5 baths,4.81 ·,"['Cleanliness4.9', 'Accuracy4.9', 'Communication5.0', 'Location5.0', 'Check-in4.7', 'Value4.6']","['Harbor view', 'Sea view', 'Bathtub', 'Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Free washer – In unit', 'Free dryer – In unit', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', '45"" HDTV with Netflix', 'Pack ’n play/Travel crib - available upon request', 'High chair', 'Central air conditioning', 'Central heating', 'Smoke alarm', 'Fire extinguisher', 'First aid kit', 'Fast wifi – 90 Mbps', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Dishwasher', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Coffee', 'Waterfront', 'Private patio or balcony', 'Outdoor furniture', 'Elevator', 'Paid parking garage off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.87 ·,"['Cleanliness4.8', 'Accuracy4.9', 'Communication5.0', 'Location4.9', 'Check-in4.9', 'Value4.8']","['Hair dryer', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Washer', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Mosquito net', 'Clothing storage', 'TV', 'Babysitter recommendations', 'Air conditioning', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Mini fridge', 'Freezer', 'Stove', 'Oven', 'Hot water kettle', 'Coffee maker', 'Wine glasses', 'Dining table', 'Coffee', 'Private entrance', 'Private patio or balcony', 'Elevator', 'Paid parking off premises', 'Paid parking on premises', 'Single level home', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property']"
€ 55 ,"Thessaloniki, Greece",3 guests ·  · Studio ·  · 2 beds ·  · 1 bath,4.50 ·,[],"['Hair dryer', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Room-darkening shades', 'Clothing storage', 'TV', 'Air conditioning', 'Heating', 'Security cameras on property', 'Wifi', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Freezer', 'Stove', 'Hot water kettle', 'Baking sheet', 'Dining table', 'Elevator', 'Self check-in', 'Lockbox', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.91 ·,"['Cleanliness4.8', 'Accuracy4.9', 'Communication5.0', 'Location4.6', 'Check-in4.9', 'Value4.9']","['Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Mosquito net', 'Clothing storage: wardrobe', 'TV', 'AC - split type ductless system', 'Portable fans', 'Central heating', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Refrigerator', 'Microwave', 'Dishes and silverware', 'Mini fridge', 'Kitchenette', 'Coffee', 'Private patio or balcony', 'Free parking on premises', 'Free street parking', 'Elevator', 'Long term stays allowed', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: KitchenKitchen', 'Unavailable: WasherWasher', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm', 'Unavailable: Private entrancePrivate entrance']"
€ 30 ,"Thessaloniki, Greece",2 guests ·  · 1 bedroom ·  · 1 bed ·  · 1 bath,4.84 ·,"['Cleanliness4.9', 'Accuracy4.9', 'Communication5.0', 'Location5.0', 'Check-in4.9', 'Value4.8']","['Hair dryer', 'Shampoo', 'Hot water', 'Shower gel', 'Essentials', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'HDTV with standard cable', 'AC - split type ductless system', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Refrigerator', 'Microwave', 'Cooking basics', 'Dishes and silverware', 'Stove', 'Coffee maker', 'Waterfront', 'Elevator', 'Paid parking off premises', 'Single level home', 'Pets allowed', 'Luggage dropoff allowed', 'Long term stays allowed', 'Self check-in', 'Keypad', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: WasherWasher', 'Unavailable: Private entrancePrivate entrance']"
€ 100 ,"Thessaloniki, Greece",4 guests ·  · 2 bedrooms ·  · 2 beds ·  · 1 bath,4.99 ·,[],"['Bay view', 'Beach view', 'City skyline view', 'Harbor view', 'Marina view', 'Mountain view', 'Park view', 'Sea view', 'Hair dryer', 'Shampoo', 'Hot water', 'Free washer – In unit', 'Essentials', 'Hangers', 'Iron', 'TV', 'Crib', 'Pack ’n play/Travel crib', 'AC - split type ductless system', 'Heating', 'Fire extinguisher', 'Wifi', 'Kitchen', 'Refrigerator', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Stove', 'Oven', 'Coffee maker', 'Beach access', 'Private entrance', 'Private patio or balcony', 'Outdoor furniture', 'Outdoor dining area', 'Free street parking', 'Self check-in', 'Lockbox', 'Unavailable: Security cameras on propertySecurity cameras on property', 'Unavailable: Smoke alarmSmoke alarm', 'Unavailable: Carbon monoxide alarmCarbon monoxide alarm']"
